frame,left,top,width,height,anchorX,anchorY,scale,removedSmallComponents
1,40,53,259,298,170,348,0.54421768707483,0
2,402,53,258,298,532,348,0.54421768707483,0
3,764,53,277,298,894,348,0.54421768707483,0
4,1126,53,261,297,1256,348,0.54421768707483,0
5,40,401,259,295,170,695,0.54421768707483,0
6,401,401,259,297,532,695,0.54421768707483,0
7,764,401,269,297,894,695,0.54421768707483,0
8,1126,401,283,297,1256,695,0.54421768707483,0
9,40,739,269,291,170,1031,0.54421768707483,0
10,402,738,259,296,532,1031,0.54421768707483,0
11,764,739,268,295,894,1031,0.54421768707483,0
12,1126,739,258,295,1256,1031,0.54421768707483,0
